date,open,high,low,close,volume,adjusted
2017-03-20,3.19,3.24,3.18,3.23,2009458.0,3.23
2017-03-21,3.23,3.3,3.22,3.29,3730305.0,3.29
2017-03-22,3.29,3.34,3.27,3.32,4497248.0,3.32
2017-03-23,3.33,3.35,3.29,3.32,3304519.0,3.32
2017-03-24,3.33,3.44,3.32,3.4,6654184.0,3.4
2017-03-27,3.4,3.48,3.4,3.42,4385092.0,3.42
2017-03-28,3.42,3.49,3.4,3.49,4276797.0,3.49
2017-03-29,3.49,3.52,3.45,3.48,3818963.0,3.48
2017-03-30,3.48,3.49,3.4,3.41,5362878.0,3.41
2017-03-31,3.41,3.45,3.4,3.44,2413895.0,3.44
2017-04-05,3.45,3.67,3.44,3.56,5245711.0,3.56
2017-04-06,3.57,3.59,3.5,3.57,3060264.0,3.57
2017-04-07,3.55,3.67,3.54,3.66,5515473.0,3.66
2017-04-10,3.65,3.8,3.64,3.79,7120914.0,3.79
2017-04-11,3.84,3.89,3.68,3.79,7778210.0,3.79
2017-04-12,3.77,3.79,3.7,3.72,3293414.0,3.72
2017-04-13,3.73,3.84,3.72,3.77,3522430.0,3.77
2017-04-14,3.77,3.77,3.68,3.71,2784381.0,3.71
2017-04-17,3.71,3.74,3.68,3.71,2319738.0,3.71
2017-04-18,3.71,3.81,3.7,3.79,4190317.0,3.79
2017-04-19,3.79,3.86,3.7,3.73,3889572.0,3.73
2017-04-20,3.75,3.83,3.72,3.8,4296814.0,3.8
2017-04-21,3.83,4.05,3.82,3.98,8101411.0,3.98
2017-04-24,3.97,4.02,3.87,3.92,6200645.0,3.92
2017-04-25,3.92,3.95,3.82,3.86,5242520.0,3.86
2017-04-26,3.85,4.13,3.84,4.03,7216797.0,4.03
2017-04-27,4.0,4.05,3.95,4.05,5488789.0,4.05
2017-04-28,4.12,4.12,4.02,4.03,4111001.0,4.03
2017-05-02,4.02,4.11,3.96,4.1,5230993.0,4.1
2017-05-03,4.11,4.2,4.08,4.18,6110453.0,4.18
2017-05-04,4.16,4.22,4.13,4.15,4088055.0,4.15
2017-05-05,4.12,4.17,4.11,4.11,2715071.0,4.11
2017-05-08,4.08,4.11,3.7,3.71,11826645.0,3.71
2017-05-09,3.61,3.78,3.58,3.76,5797179.0,3.76
2017-05-10,3.76,3.88,3.75,3.81,5651749.0,3.81
2017-05-11,3.8,3.88,3.73,3.79,4884402.0,3.79
2017-05-12,3.78,3.84,3.78,3.8,2189419.0,3.8
2017-05-15,3.86,3.92,3.84,3.88,3852428.0,3.88
2017-05-16,3.87,4.19,3.83,4.18,7627468.0,4.18
2017-05-17,4.16,4.21,4.09,4.11,5542157.0,4.11
2017-05-18,4.08,4.2,4.07,4.16,4141033.0,4.16
2017-05-19,4.14,4.23,4.13,4.15,3760092.0,4.15
2017-05-22,4.16,4.19,4.11,4.12,5281918.0,4.12
2017-05-23,4.11,4.13,3.94,3.98,7796560.0,3.98
2017-05-24,3.97,4.08,3.95,4.07,4868155.0,4.07
2017-05-25,4.06,4.11,3.98,4.06,3865984.0,4.06
2017-05-26,4.07,4.08,4.0,4.02,3438467.0,4.02
2017-05-31,4.07,4.1,3.82,3.86,7539788.0,3.86
2017-06-01,3.86,3.94,3.82,3.86,3937211.0,3.86
2017-06-02,3.86,3.9,3.8,3.89,2631428.0,3.89
2017-06-05,3.89,3.93,3.86,3.89,2329730.0,3.89
2017-06-06,3.88,3.89,3.81,3.85,2615939.0,3.85
2017-06-07,3.85,3.95,3.82,3.91,5130495.0,3.91
2017-06-08,3.89,4.07,3.89,4.02,6778341.0,4.02
2017-06-09,4.04,4.08,4.0,4.05,3865301.0,4.05
2017-06-12,4.05,4.08,3.98,4.0,4337780.0,4.0
2017-06-13,4.0,4.04,3.97,4.0,4345796.0,4.0
2017-06-14,3.99,4.0,3.88,3.9,5827164.0,3.9
2017-06-15,3.89,3.92,3.88,3.9,3140842.0,3.9
2017-06-16,3.89,3.98,3.88,3.98,6493094.0,3.98
