date,open,high,low,close,volume,adjusted
2017-03-01,8.891,9.488,8.891,9.259,399414.0,9.259
2017-03-02,9.199,9.399,9.04,9.09,270383.0,9.09
2017-03-03,8.99,9.319,8.99,9.07,183950.0,9.07
2017-03-06,9.04,9.12,8.98,9.09,127432.0,9.09
2017-03-07,9.09,9.12,8.871,8.871,168107.0,8.871
2017-03-08,8.861,8.99,8.831,8.911,100198.0,8.911
2017-03-09,8.941,8.98,8.851,8.921,116713.0,8.921
2017-03-10,8.931,8.95,8.662,8.672,168425.0,8.672
2017-03-13,8.702,8.811,8.632,8.761,85710.0,8.761
2017-03-14,8.751,8.931,8.751,8.831,101105.0,8.831
2017-03-15,8.841,8.851,8.702,8.712,90024.0,8.712
2017-03-16,8.692,8.911,8.692,8.911,131582.0,8.911
2017-03-17,8.901,9.0,8.761,8.771,133689.0,8.771
2017-03-20,8.781,8.821,8.702,8.811,77286.0,8.811
2017-03-21,8.781,8.801,8.662,8.692,80041.0,8.692
2017-03-22,8.672,8.751,8.532,8.542,120032.0,8.542
2017-03-23,8.493,8.622,8.393,8.552,98389.0,8.552
2017-03-24,8.532,8.552,8.433,8.522,71045.0,8.522
2017-03-27,8.542,8.682,8.532,8.652,76692.0,8.652
2017-03-28,8.612,8.702,8.582,8.652,64869.0,8.652
2017-03-29,8.652,8.98,8.652,8.851,205253.0,8.851
2017-03-30,8.841,8.841,8.363,8.433,174321.0,8.433
2017-03-31,8.433,8.582,8.383,8.463,74307.0,8.463
2017-04-05,8.413,8.632,8.413,8.622,74641.0,8.622
2017-04-06,8.602,8.652,8.522,8.582,77114.0,8.582
2017-04-07,8.552,8.582,8.463,8.532,80796.0,8.532
2017-04-10,8.453,8.532,8.283,8.303,105048.0,8.303
2017-04-11,8.303,8.373,8.074,8.353,93401.0,8.353
2017-04-12,8.323,8.343,8.214,8.244,58662.0,8.244
2017-04-13,8.254,8.423,8.224,8.313,59136.0,8.313
2017-04-14,8.273,8.333,8.164,8.204,58082.0,8.204
2017-04-17,8.164,8.204,7.915,7.985,86194.0,7.985
2017-04-18,7.965,8.114,7.955,7.985,49196.0,7.985
2017-04-19,7.985,8.015,7.626,7.786,89952.0,7.786
2017-04-20,7.786,8.134,7.766,8.035,113776.0,8.035
2017-04-21,8.015,8.074,7.596,7.696,91894.0,7.696
2017-04-24,7.696,7.696,7.178,7.377,96740.0,7.377
2017-04-25,7.447,7.477,7.328,7.387,47126.0,7.387
2017-04-26,7.407,7.417,7.318,7.367,42832.0,7.367
2017-04-27,7.358,7.497,7.099,7.447,72407.0,7.447
2017-04-28,7.427,7.596,7.397,7.547,55115.0,7.547
2017-05-02,7.537,7.616,7.477,7.587,42509.0,7.587
2017-05-03,7.616,7.686,7.507,7.596,47044.0,7.596
2017-05-04,7.596,7.636,7.477,7.557,46649.0,7.557
2017-05-05,7.517,7.547,7.328,7.338,48188.0,7.338
2017-05-08,7.367,7.387,7.178,7.218,41881.0,7.218
2017-05-09,7.188,7.308,7.079,7.278,41202.0,7.278
2017-05-10,7.278,7.328,7.059,7.059,41406.0,7.059
2017-05-11,7.049,7.119,6.69,6.979,85424.0,6.979
2017-05-12,6.959,6.969,6.8,6.86,44791.0,6.86
2017-05-15,6.92,6.95,6.82,6.85,34218.0,6.85
2017-05-16,6.85,7.07,6.8,7.06,56019.0,7.06
2017-05-17,7.03,7.15,7.0,7.07,59597.0,7.07
2017-05-18,7.01,7.1,6.95,6.96,45365.0,6.96
2017-05-19,7.03,7.15,7.0,7.1,56558.0,7.1
2017-05-22,7.06,7.11,6.89,6.92,43311.0,6.92
2017-05-23,6.89,6.9,6.42,6.5,62887.0,6.5
2017-05-24,6.5,6.57,6.26,6.52,59597.0,6.52
2017-05-25,6.52,6.63,6.36,6.62,52779.0,6.62
2017-05-26,6.63,6.75,6.59,6.67,36325.0,6.67
